 row  golden      hw     gold(dec)       hw(dec)      rel%
 245    4604    4604     8448.0000     8448.0000    0.000%
 246    4603    4603     8384.0000     8384.0000    0.000%
 247    4607    4607     8640.0000     8640.0000    0.000%
 248    4602    4602     8320.0000     8320.0000    0.000%
 249    4601    4601     8256.0000     8256.0000    0.000%
 250    4607    4607     8640.0000     8640.0000    0.000%
 251    4600    4600     8192.0000     8192.0000    0.000%
 252    4606    4606     8576.0000     8576.0000    0.000%
 253    4605    4605     8512.0000     8512.0000    0.000%
 254    4603    4603     8384.0000     8384.0000    0.000%
 255    4600    4600     8192.0000     8192.0000    0.000%
 256    4581    4581     4128.0000     4128.0000    0.000%
 257    456C    456C     3776.0000     3776.0000    0.000%
 258    4593    4593     4704.0000     4704.0000    0.000%
 259    458C    458C     4480.0000     4480.0000    0.000%
 260    4580    4580     4096.0000     4096.0000    0.000%
 261    458B    458B     4448.0000     4448.0000    0.000%
 262    456E    456E     3808.0000     3808.0000    0.000%
 263    4588    4588     4352.0000     4352.0000    0.000%
 264    4584    4584     4224.0000     4224.0000    0.000%
 265    4588    4588     4352.0000     4352.0000    0.000%
 266    4590    4590     4608.0000     4608.0000    0.000%
 267    4575    4575     3920.0000     3920.0000    0.000%
 268    458C    458C     4480.0000     4480.0000    0.000%
 269    4589    4589     4384.0000     4384.0000    0.000%
 270    4581    4581     4128.0000     4128.0000    0.000%
 271    4587    4587     4320.0000     4320.0000    0.000%
 272    4591    4591     4640.0000     4640.0000    0.000%
 273    456E    456E     3808.0000     3808.0000    0.000%
 274    457E    457E     4064.0000     4064.0000    0.000%
 275    4580    4580     4096.0000     4096.0000    0.000%
 276    457D    457D     4048.0000     4048.0000    0.000%
 277    4581    4581     4128.0000     4128.0000    0.000%
 278    4585    4585     4256.0000     4256.0000    0.000%
 279    457D    457D     4048.0000     4048.0000    0.000%
 280    4573    4573     3888.0000     3888.0000    0.000%
 281    457D    457D     4048.0000     4048.0000    0.000%
 282    4582    4582     4160.0000     4160.0000    0.000%
 283    4585    4585     4256.0000     4256.0000    0.000%
 284    456B    456B     3760.0000     3760.0000    0.000%
 285    4587    4587     4320.0000     4320.0000    0.000%
 286    4585    4585     4256.0000     4256.0000    0.000%
 287    4589    4589     4384.0000     4384.0000    0.000%
 288    4582    4582     4160.0000     4160.0000    0.000%
 289    4587    4587     4320.0000     4320.0000    0.000%
 290    4571    4571     3856.0000     3856.0000    0.000%
 291    458C    458C     4480.0000     4480.0000    0.000%
 292    4585    4585     4256.0000     4256.0000    0.000%
 293    4589    4589     4384.0000     4384.0000    0.000%
 294    457F    457F     4080.0000     4080.0000    0.000%
 295    458C    458C     4480.0000     4480.0000    0.000%
 296    457E    457E     4064.0000     4064.0000    0.000%
 297    4582    4582     4160.0000     4160.0000    0.000%
 298    4589    4589     4384.0000     4384.0000    0.000%
 299    4584    4584     4224.0000     4224.0000    0.000%
 300    457F    457F     4080.0000     4080.0000    0.000%
 301    457C    457C     4032.0000     4032.0000    0.000%
 302    4580    4580     4096.0000     4096.0000    0.000%
 303    4578    4578     3968.0000     3968.0000    0.000%
 304    4570    4570     3840.0000     3840.0000    0.000%
 305    4588    4588     4352.0000     4352.0000    0.000%
 306    4573    4573     3888.0000     3888.0000    0.000%
